Concept,Concept ID,Parent,Publications 2018,Publications 2019,Publications 2020,Publications 2021,Publications 2022,Publications 2023,Publications 2024
Automation,https://openalex.org/C115901376,Artificial Intelligence,8697,10096,11462,11820,11323,12418,5397
Search algorithm,https://openalex.org/C125583679,Artificial Intelligence,732,745,889,1061,864,848,263
Natural language,https://openalex.org/C195324797,Artificial Intelligence,2394,3132,3587,3832,3365,4303,1364
Theory of computation,https://openalex.org/C24858836,Artificial Intelligence,1077,1028,1022,1110,1080,971,1228
Creativity,https://openalex.org/C11012388,Artificial Intelligence,17285,19217,22312,22072,19704,22265,8548
Inference,https://openalex.org/C2776214188,Artificial Intelligence,12498,14508,16942,19401,18243,21534,8602
Speech synthesis,https://openalex.org/C14999030,Artificial Intelligence,582,661,771,754,859,907,414
Emerging technologies,https://openalex.org/C207267971,Artificial Intelligence,2272,2888,3577,4087,3912,4158,1461
Posthuman,https://openalex.org/C2779549840,Artificial Intelligence,695,596,672,674,665,637,294
Abductive reasoning,https://openalex.org/C166088908,Artificial Intelligence,110,95,92,112,137,124,49
Knowledge-based systems,https://openalex.org/C115925183,Artificial Intelligence,221,207,240,215,213,210,118
Case-based reasoning,https://openalex.org/C20162079,Artificial Intelligence,177,182,154,136,129,145,52
Dystopia,https://openalex.org/C23189370,Artificial Intelligence,867,861,1036,946,859,814,356
Decision theory,https://openalex.org/C28901747,Artificial Intelligence,297,260,250,237,204,181,118
Genetic programming,https://openalex.org/C110332635,Artificial Intelligence,775,744,880,818,762,798,509
Reverse engineering,https://openalex.org/C207850805,Artificial Intelligence,487,466,423,436,384,384,263
Frame problem,https://openalex.org/C5065155,Artificial Intelligence,22,22,29,23,16,18,5
Intelligent tutoring system,https://openalex.org/C2779336797,Artificial Intelligence,114,109,108,96,94,103,64
Affective computing,https://openalex.org/C6438553,Artificial Intelligence,218,298,270,303,335,478,151
Self-organization,https://openalex.org/C106960710,Artificial Intelligence,149,118,137,135,98,122,68
Utopia,https://openalex.org/C2775944640,Artificial Intelligence,1352,1416,1403,1230,1083,1007,540
Complex system,https://openalex.org/C47822265,Artificial Intelligence,1179,1171,1251,1266,1127,1306,721
Knowledge base,https://openalex.org/C4554734,Artificial Intelligence,1657,1744,1911,1905,1845,1858,574
Text mining,https://openalex.org/C71472368,Artificial Intelligence,179,240,249,226,217,247,93
Futures studies,https://openalex.org/C64848388,Artificial Intelligence,800,822,948,983,851,979,465
Question answering,https://openalex.org/C44291984,Artificial Intelligence,1325,1655,1967,2367,2166,2626,1437
Reasoning system,https://openalex.org/C89288958,Artificial Intelligence,90,65,82,75,107,136,31
Non-monotonic logic,https://openalex.org/C159032336,Artificial Intelligence,89,69,90,86,81,63,19
Ubiquitous computing,https://openalex.org/C172195944,Artificial Intelligence,729,708,560,538,440,492,304
