year,field_id,count,keyword
2024,https://openalex.org/fields/23,0,Artificial Intelligence Technology
2024,https://openalex.org/fields/31,0,Artificial Intelligence Technology
2024,https://openalex.org/fields/25,0,Artificial Intelligence Technology
2024,https://openalex.org/fields/14,0,Artificial Intelligence Technology
2024,https://openalex.org/fields/20,0,Artificial Intelligence Technology
2024,https://openalex.org/fields/32,0,Artificial Intelligence Technology
2024,https://openalex.org/fields/36,0,Artificial Intelligence Technology
2024,https://openalex.org/fields/16,0,Artificial Intelligence Technology
2024,https://openalex.org/fields/19,0,Artificial Intelligence Technology
2024,https://openalex.org/fields/28,0,Artificial Intelligence Technology
2024,https://openalex.org/fields/26,0,Artificial Intelligence Technology
2024,https://openalex.org/fields/24,0,Artificial Intelligence Technology
2024,https://openalex.org/fields/18,0,Artificial Intelligence Technology
2024,https://openalex.org/fields/21,0,Artificial Intelligence Technology
2024,https://openalex.org/fields/29,0,Artificial Intelligence Technology
2024,https://openalex.org/fields/30,0,Artificial Intelligence Technology
2024,https://openalex.org/fields/35,0,Artificial Intelligence Technology
2024,https://openalex.org/fields/15,0,Artificial Intelligence Technology
2024,https://openalex.org/fields/34,0,Artificial Intelligence Technology
2018,https://openalex.org/fields/17,11,Symbolic artificial intelligence
2018,https://openalex.org/fields/18,1,Symbolic artificial intelligence
2018,https://openalex.org/fields/22,1,Symbolic artificial intelligence
2018,https://openalex.org/fields/28,1,Symbolic artificial intelligence
2018,https://openalex.org/fields/32,1,Symbolic artificial intelligence
2018,https://openalex.org/fields/33,1,Symbolic artificial intelligence
2018,https://openalex.org/fields/27,0,Symbolic artificial intelligence
2018,https://openalex.org/fields/12,0,Symbolic artificial intelligence
2018,https://openalex.org/fields/13,0,Symbolic artificial intelligence
2018,https://openalex.org/fields/11,0,Symbolic artificial intelligence
2018,https://openalex.org/fields/23,0,Symbolic artificial intelligence
2018,https://openalex.org/fields/31,0,Symbolic artificial intelligence
2018,https://openalex.org/fields/25,0,Symbolic artificial intelligence
2018,https://openalex.org/fields/14,0,Symbolic artificial intelligence
2018,https://openalex.org/fields/20,0,Symbolic artificial intelligence
2018,https://openalex.org/fields/36,0,Symbolic artificial intelligence
2018,https://openalex.org/fields/16,0,Symbolic artificial intelligence
2018,https://openalex.org/fields/19,0,Symbolic artificial intelligence
2018,https://openalex.org/fields/26,0,Symbolic artificial intelligence
2018,https://openalex.org/fields/24,0,Symbolic artificial intelligence
2018,https://openalex.org/fields/21,0,Symbolic artificial intelligence
2018,https://openalex.org/fields/29,0,Symbolic artificial intelligence
2018,https://openalex.org/fields/30,0,Symbolic artificial intelligence
2018,https://openalex.org/fields/35,0,Symbolic artificial intelligence
2018,https://openalex.org/fields/15,0,Symbolic artificial intelligence
2018,https://openalex.org/fields/34,0,Symbolic artificial intelligence
2019,https://openalex.org/fields/17,17,Symbolic artificial intelligence
2019,https://openalex.org/fields/20,1,Symbolic artificial intelligence
2019,https://openalex.org/fields/28,1,Symbolic artificial intelligence
2019,https://openalex.org/fields/27,0,Symbolic artificial intelligence
2019,https://openalex.org/fields/33,0,Symbolic artificial intelligence
2019,https://openalex.org/fields/22,0,Symbolic artificial intelligence
2019,https://openalex.org/fields/12,0,Symbolic artificial intelligence
2019,https://openalex.org/fields/13,0,Symbolic artificial intelligence
2019,https://openalex.org/fields/11,0,Symbolic artificial intelligence
2019,https://openalex.org/fields/23,0,Symbolic artificial intelligence
2019,https://openalex.org/fields/31,0,Symbolic artificial intelligence
2019,https://openalex.org/fields/25,0,Symbolic artificial intelligence
2019,https://openalex.org/fields/14,0,Symbolic artificial intelligence
2019,https://openalex.org/fields/32,0,Symbolic artificial intelligence
2019,https://openalex.org/fields/36,0,Symbolic artificial intelligence
2019,https://openalex.org/fields/16,0,Symbolic artificial intelligence
2019,https://openalex.org/fields/19,0,Symbolic artificial intelligence
2019,https://openalex.org/fields/26,0,Symbolic artificial intelligence
2019,https://openalex.org/fields/24,0,Symbolic artificial intelligence
2019,https://openalex.org/fields/18,0,Symbolic artificial intelligence
2019,https://openalex.org/fields/21,0,Symbolic artificial intelligence
2019,https://openalex.org/fields/29,0,Symbolic artificial intelligence
2019,https://openalex.org/fields/30,0,Symbolic artificial intelligence
2019,https://openalex.org/fields/35,0,Symbolic artificial intelligence
2019,https://openalex.org/fields/15,0,Symbolic artificial intelligence
2019,https://openalex.org/fields/34,0,Symbolic artificial intelligence
2020,https://openalex.org/fields/17,19,Symbolic artificial intelligence
2020,https://openalex.org/fields/12,3,Symbolic artificial intelligence
2020,https://openalex.org/fields/28,3,Symbolic artificial intelligence
2020,https://openalex.org/fields/33,3,Symbolic artificial intelligence
2020,https://openalex.org/fields/22,2,Symbolic artificial intelligence
2020,https://openalex.org/fields/18,1,Symbolic artificial intelligence
2020,https://openalex.org/fields/27,0,Symbolic artificial intelligence
2020,https://openalex.org/fields/13,0,Symbolic artificial intelligence
2020,https://openalex.org/fields/11,0,Symbolic artificial intelligence
2020,https://openalex.org/fields/23,0,Symbolic artificial intelligence
2020,https://openalex.org/fields/31,0,Symbolic artificial intelligence
2020,https://openalex.org/fields/25,0,Symbolic artificial intelligence
2020,https://openalex.org/fields/14,0,Symbolic artificial intelligence
2020,https://openalex.org/fields/20,0,Symbolic artificial intelligence
2020,https://openalex.org/fields/32,0,Symbolic artificial intelligence
2020,https://openalex.org/fields/36,0,Symbolic artificial intelligence
2020,https://openalex.org/fields/16,0,Symbolic artificial intelligence
2020,https://openalex.org/fields/19,0,Symbolic artificial intelligence
2020,https://openalex.org/fields/26,0,Symbolic artificial intelligence
2020,https://openalex.org/fields/24,0,Symbolic artificial intelligence
2020,https://openalex.org/fields/21,0,Symbolic artificial intelligence
2020,https://openalex.org/fields/29,0,Symbolic artificial intelligence
2020,https://openalex.org/fields/30,0,Symbolic artificial intelligence
2020,https://openalex.org/fields/35,0,Symbolic artificial intelligence
2020,https://openalex.org/fields/15,0,Symbolic artificial intelligence
2020,https://openalex.org/fields/34,0,Symbolic artificial intelligence
2021,https://openalex.org/fields/17,14,Symbolic artificial intelligence
2021,https://openalex.org/fields/33,4,Symbolic artificial intelligence
2021,https://openalex.org/fields/22,2,Symbolic artificial intelligence
2021,https://openalex.org/fields/28,2,Symbolic artificial intelligence
2021,https://openalex.org/fields/27,1,Symbolic artificial intelligence
2021,https://openalex.org/fields/32,1,Symbolic artificial intelligence
2021,https://openalex.org/fields/12,0,Symbolic artificial intelligence
2021,https://openalex.org/fields/13,0,Symbolic artificial intelligence
2021,https://openalex.org/fields/11,0,Symbolic artificial intelligence
2021,https://openalex.org/fields/23,0,Symbolic artificial intelligence
2021,https://openalex.org/fields/31,0,Symbolic artificial intelligence
2021,https://openalex.org/fields/25,0,Symbolic artificial intelligence
2021,https://openalex.org/fields/14,0,Symbolic artificial intelligence
2021,https://openalex.org/fields/20,0,Symbolic artificial intelligence
2021,https://openalex.org/fields/36,0,Symbolic artificial intelligence
2021,https://openalex.org/fields/16,0,Symbolic artificial intelligence
2021,https://openalex.org/fields/19,0,Symbolic artificial intelligence
2021,https://openalex.org/fields/26,0,Symbolic artificial intelligence
2021,https://openalex.org/fields/24,0,Symbolic artificial intelligence
2021,https://openalex.org/fields/18,0,Symbolic artificial intelligence
